ccd,grid_row,grid_col,row_residue,column_residue,maximum_flux_difference,maximum_uncertainty_difference,phase_sum
3,1,1069,4,1,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999998
3,1,1069,4,2,0.0,0.0,0.9999999999999993
3,1,1069,4,3,0.0,0.0,0.9999999999999999
3,1,1069,4,4,0.0,0.0,0.9999999999999996
3,1,1069,4,5,0.0,0.0,1.0000000000000004
3,1,1069,4,6,0.0,0.0,0.9999999999999998
3,1,1069,4,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999996
3,1,1069,4,8,0.0,0.0,1.0000000000000004
3,1,1069,5,0,0.0,0.0,1.0000000000000004
3,1,1069,5,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,1069,5,2,0.0,0.0,1.0000000000000004
3,1,1069,5,3,0.0,0.0,1.0
3,1,1069,5,4,0.0,0.0,1.0000000000000009
3,1,1069,5,5,0.0,0.0,0.9999999999999999
3,1,1069,5,6,0.0,0.0,0.9999999999999996
3,1,1069,5,7,2.7755575615628914e-17,8.673617379884035e-19,1.0000000000000004
3,1,1069,5,8,0.0,0.0,0.9999999999999997
3,1,1069,6,0,0.0,0.0,0.9999999999999998
3,1,1069,6,1,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999996
3,1,1069,6,2,0.0,0.0,0.9999999999999996
3,1,1069,6,3,0.0,0.0,0.9999999999999997
3,1,1069,6,4,0.0,0.0,0.9999999999999998
3,1,1069,6,5,0.0,0.0,0.9999999999999998
3,1,1069,6,6,0.0,0.0,1.0000000000000004
3,1,1069,6,7,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,1069,6,8,0.0,0.0,1.0000000000000002
3,1,1069,7,0,2.7755575615628914e-17,4.336808689942018e-19,0.9999999999999999
3,1,1069,7,1,4.163336342344337e-17,5.204170427930421e-18,0.9999999999999998
3,1,1069,7,2,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000007
3,1,1069,7,3,1.3877787807814457e-17,1.734723475976807e-18,0.9999999999999998
3,1,1069,7,4,2.7755575615628914e-17,8.673617379884035e-19,1.000000000000001
3,1,1069,7,5,2.7755575615628914e-17,1.0842021724855044e-19,0.9999999999999999
3,1,1069,7,6,2.7755575615628914e-17,1.734723475976807e-18,1.0
3,1,1069,7,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999996
3,1,1069,7,8,2.7755575615628914e-17,8.673617379884035e-19,1.0000000000000004
