file_key,sign,cluster_id,start,duration,field,unit,status,event_mean,predicted_event_mean,mean_residual,sum_residual,side_mad,side_rms,mad_displacement,slope_per_second
CH_PR100006_TG000302_V0300,negative,0,738,1,CENTROID_Y,pixel,AVAILABLE,827.0636596679688,827.1115722704128,-0.04791260244404322,-0.04791260244404322,0.12016280458867896,0.12352742574604746,-0.3987307271002,4.139173766242754e-05
CH_PR100006_TG000302_V0300,negative,0,738,1,OFFSET_X,pixel,AVAILABLE,0.295166015625,0.2873090110631304,0.007857004561869585,0.007857004561869585,0.08313599858408355,0.15143828226864878,0.09450785093924179,2.071082920803275e-06
CH_PR100006_TG000302_V0300,negative,0,738,1,OFFSET_Y,pixel,AVAILABLE,-0.93634033203125,-0.8884277295872068,-0.04791260244404322,-0.04791260244404322,0.12016280458867896,0.12352742574604746,-0.3987307271002,4.139173766242754e-05
CH_PR100006_TG000303_V0300,positive,0,444,3,FLUX,electron,AVAILABLE,390951328.60668856,390776990.9145268,174337.69216172947,523013.07648518845,23040.2007041985,24742.283314391407,7.566674196981313,37.989791308996935
CH_PR100006_TG000303_V0300,positive,0,444,3,DARK,electron,AVAILABLE,23519.671126795965,23511.39734424185,8.273782554117265,24.821347662351794,61.76891106707429,66.23509537549309,0.13394735978318997,-0.028600538057034938
CH_PR100006_TG000303_V0300,positive,0,444,3,BACKGROUND,electron,AVAILABLE,538050.0610913971,554670.8406259048,-16620.779534507663,-49862.33860352299,5858.768054441139,4586.100927162368,-2.836906902622398,-20.663207568152256
CH_PR100006_TG000303_V0300,positive,0,444,3,CONTA_LC,ratio,AVAILABLE,9.582032726552993e-06,9.68764537730758e-06,-1.0561265075458808e-07,-3.1683795226376427e-07,3.274326313742939e-07,2.8509167318799235e-07,-0.3225477262645226,-1.048640477140795e-11
CH_PR100006_TG000303_V0300,positive,0,444,3,CONTA_LC_ERR,ratio,AVAILABLE,6.484558392215259e-07,6.484558392215258e-07,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000303_V0300,positive,0,444,3,SMEARING_LC,electron,AVAILABLE,265605.4992376047,40992.052841729266,224613.4463958754,673840.3391876261,344.30836748851414,768.6453566789901,652.3612772883549,-0.450210289761876
CH_PR100006_TG000303_V0300,positive,0,444,3,SMEARING_LC_ERR,ratio,AVAILABLE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000303_V0300,positive,0,444,3,ROLL_ANGLE,degree,AVAILABLE,19.35091558190925,28.43508025091894,-9.084164669009693,-27.252494007029078,6.560015364728103,4.96496398132638,-1.3847779561391638,-0.08149920815509934
CH_PR100006_TG000303_V0300,positive,0,444,3,LOCATION_X,pixel,AVAILABLE,280.0,280.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000303_V0300,positive,0,444,3,LOCATION_Y,pixel,AVAILABLE,828.0,828.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000303_V0300,positive,0,444,3,CENTROID_X,pixel,AVAILABLE,280.3297526041667,280.27438100168985,0.055371602476793035,0.1661148074303791,0.13443726471757156,0.1370234904000088,0.4118768898870323,2.997259477128159e-05
CH_PR100006_TG000303_V0300,positive,0,444,3,CENTROID_Y,pixel,AVAILABLE,827.1730346679688,827.0730158489382,0.10001881903055439,0.3000564570916632,0.09318967390602732,0.11658125611229506,1.0732822086212426,-4.2538873992772216e-05
CH_PR100006_TG000303_V0300,positive,0,444,3,OFFSET_X,pixel,AVAILABLE,0.3297526041666667,0.2743810016898736,0.055371602476793035,0.1661148074303791,0.13443726471757156,0.1370234904000088,0.4118768898870323,2.997259477128159e-05
CH_PR100006_TG000303_V0300,positive,0,444,3,OFFSET_Y,pixel,AVAILABLE,-0.82696533203125,-0.9269841510618044,0.10001881903055439,0.3000564570916632,0.09318967390602732,0.11658125611229506,1.0732822086212426,-4.2538873992772216e-05
CH_PR100006_TG000303_V0300,positive,1,681,3,FLUX,electron,AVAILABLE,390881598.92657906,390774934.8272713,106664.09930779836,319992.29792339506,14406.157908834637,26452.50764622874,7.404062900239775,35.51833692271485
CH_PR100006_TG000303_V0300,positive,1,681,3,DARK,electron,AVAILABLE,23513.854712419296,23522.600988950555,-8.74627653126205,-26.23882959378615,57.58223019495634,56.331591397581434,-0.15189193787127997,-0.017991316548327266
CH_PR100006_TG000303_V0300,positive,1,681,3,BACKGROUND,electron,AVAILABLE,537981.3725210069,555046.8626314328,-17065.490110426137,-51196.47033127841,5681.84290819079,4235.632161556365,-3.003513188621423,-22.449305874946177
CH_PR100006_TG000303_V0300,positive,1,681,3,CONTA_LC,ratio,AVAILABLE,9.383571985712195e-06,9.710881434500113e-06,-3.2730944878791676e-07,-9.819283463637502e-07,3.08124360947501e-07,3.060972564025497e-07,-1.0622641059000348,5.899288728002632e-11
CH_PR100006_TG000303_V0300,positive,1,681,3,CONTA_LC_ERR,ratio,AVAILABLE,6.484558392215259e-07,6.484558392215258e-07,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000303_V0300,positive,1,681,3,SMEARING_LC,electron,AVAILABLE,246594.356429982,40932.73550764873,205661.62092233324,616984.8627669998,352.95359547657955,649.5307297746738,582.6874228172583,-0.6285181031391528
CH_PR100006_TG000303_V0300,positive,1,681,3,SMEARING_LC_ERR,ratio,AVAILABLE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000303_V0300,positive,1,681,3,ROLL_ANGLE,degree,AVAILABLE,16.388415021334975,25.483888067477867,-9.095473046142892,-27.286419138428677,6.842733439752984,5.079357742207504,-1.3292163323654516,-0.07896327036028958
CH_PR100006_TG000303_V0300,positive,1,681,3,LOCATION_X,pixel,AVAILABLE,280.0,280.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000303_V0300,positive,1,681,3,LOCATION_Y,pixel,AVAILABLE,828.0,828.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000303_V0300,positive,1,681,3,CENTROID_X,pixel,AVAILABLE,280.2173156738281,280.2894185391789,-0.07210286535076448,-0.21630859605229344,0.11364573357813725,0.13787486656196196,-0.6344529009634143,2.5432806266817145e-05
CH_PR100006_TG000303_V0300,positive,1,681,3,CENTROID_Y,pixel,AVAILABLE,827.1645304361979,827.067329405199,0.09720103099896443,0.2916030929968933,0.12668039875156095,0.11001254973109431,0.767293377325012,-5.1013640391158004e-05
CH_PR100006_TG000303_V0300,positive,1,681,3,OFFSET_X,pixel,AVAILABLE,0.217315673828125,0.2894185391788895,-0.07210286535076448,-0.21630859605229344,0.11364573357813725,0.13787486656196196,-0.6344529009634143,2.5432806266817145e-05
CH_PR100006_TG000303_V0300,positive,1,681,3,OFFSET_Y,pixel,AVAILABLE,-0.8354695638020834,-0.9326705948010477,0.09720103099896443,0.2916030929968933,0.12668039875156095,0.11001254973109431,0.767293377325012,-5.1013640391158004e-05
CH_PR100006_TG000304_V0300,positive,0,274,2,FLUX,electron,AVAILABLE,390590600.82768285,390451961.3028531,138639.52482971753,277279.04965943506,16373.771715093466,25944.996609174672,8.467170987972098,-24.031107870595008
CH_PR100006_TG000304_V0300,positive,0,274,2,DARK,electron,AVAILABLE,24625.291868308923,24726.41843058862,-101.12656227969943,-202.25312455939886,61.17277507728671,53.94135330837335,-1.6531302062385502,-0.0022483186236013667
CH_PR100006_TG000304_V0300,positive,0,274,2,BACKGROUND,electron,AVAILABLE,536746.597099754,554788.6866294143,-18042.089529660305,-36084.17905932061,6422.78723372231,4847.846035284651,-2.8090747635126094,-19.453643616159987
CH_PR100006_TG000304_V0300,positive,0,274,2,CONTA_LC,ratio,AVAILABLE,9.442290660277289e-06,9.72035730160419e-06,-2.780666413269011e-07,-5.561332826538022e-07,3.0273190250109254e-07,2.8865157668000205e-07,-0.9185244073372728,7.105136342449298e-11
CH_PR100006_TG000304_V0300,positive,0,274,2,CONTA_LC_ERR,ratio,AVAILABLE,6.326300353765263e-07,6.326300353765263e-07,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000304_V0300,positive,0,274,2,SMEARING_LC,electron,AVAILABLE,307141.90521594003,41311.5273527618,265830.3778631782,531660.7557263564,347.1442864072805,1024.0688960120951,765.7633677752591,-0.32297570610974957
CH_PR100006_TG000304_V0300,positive,0,274,2,SMEARING_LC_ERR,ratio,AVAILABLE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000304_V0300,positive,0,274,2,ROLL_ANGLE,degree,AVAILABLE,19.667593045117883,25.965807091587077,-6.2982140464691945,-12.596428092938389,4.735784951128735,3.6783693059725655,-1.3299197728494974,-0.07944653323499509
