epoch1_on: eight native caches and all cropped baseline scores exact
epoch2_on: eight native caches and all cropped baseline scores exact
epoch3_on: eight native caches and all cropped baseline scores exact
103/149 fresh065 {'neighbor9': 6, 'off_window': 6, 'remaining_aggregate': 6, 'combined': 6, 'centered_receiver': 6, 'centered_receiver_off_match': 6, 'centered_receiver_off_match_aggregate': 6}
104/149 fresh066 {'neighbor9': 3, 'off_window': 2, 'remaining_aggregate': 3, 'combined': 2, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 3}
105/149 fresh067 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
106/149 fresh068 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
107/149 fresh069 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
108/149 fresh070 {'neighbor9': 17, 'off_window': 17, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 17, 'centered_receiver_off_match': 17, 'centered_receiver_off_match_aggregate': 12}
109/149 fresh071 {'neighbor9': 208, 'off_window': 208, 'remaining_aggregate': 19, 'combined': 19, 'centered_receiver': 208, 'centered_receiver_off_match': 208, 'centered_receiver_off_match_aggregate': 19}
110/149 fresh072 {'neighbor9': 8, 'off_window': 8, 'remaining_aggregate': 8, 'combined': 8, 'centered_receiver': 8, 'centered_receiver_off_match': 8, 'centered_receiver_off_match_aggregate': 8}
111/149 fresh073 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
112/149 fresh074 {'neighbor9': 119, 'off_window': 119, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 119, 'centered_receiver_off_match': 119, 'centered_receiver_off_match_aggregate': 0}
113/149 fresh075 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
114/149 fresh076 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
115/149 fresh077 {'neighbor9': 16, 'off_window': 16, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 16, 'centered_receiver_off_match': 16, 'centered_receiver_off_match_aggregate': 12}
116/149 fresh078 {'neighbor9': 62, 'off_window': 62, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 62, 'centered_receiver_off_match': 62, 'centered_receiver_off_match_aggregate': 12}
117/149 fresh079 {'neighbor9': 6, 'off_window': 6, 'remaining_aggregate': 6, 'combined': 6, 'centered_receiver': 6, 'centered_receiver_off_match': 6, 'centered_receiver_off_match_aggregate': 6}
118/149 fresh080 {'neighbor9': 3, 'off_window': 2, 'remaining_aggregate': 3, 'combined': 2, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 3}
119/149 fresh081 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
120/149 fresh082 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
121/149 fresh083 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
122/149 fresh084 {'neighbor9': 21, 'off_window': 21, 'remaining_aggregate': 14, 'combined': 14, 'centered_receiver': 21, 'centered_receiver_off_match': 21, 'centered_receiver_off_match_aggregate': 14}
123/149 fresh085 {'neighbor9': 11, 'off_window': 11, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 11, 'centered_receiver_off_match': 11, 'centered_receiver_off_match_aggregate': 0}
124/149 fresh086 {'neighbor9': 18, 'off_window': 18, 'remaining_aggregate': 18, 'combined': 18, 'centered_receiver': 18, 'centered_receiver_off_match': 18, 'centered_receiver_off_match_aggregate': 18}
125/149 fresh087 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
126/149 fresh088 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 0}
127/149 fresh089 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
128/149 fresh090 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
129/149 fresh091 {'neighbor9': 18, 'off_window': 18, 'remaining_aggregate': 13, 'combined': 13, 'centered_receiver': 18, 'centered_receiver_off_match': 18, 'centered_receiver_off_match_aggregate': 13}
130/149 fresh092 {'neighbor9': 27, 'off_window': 27, 'remaining_aggregate': 13, 'combined': 13, 'centered_receiver': 27, 'centered_receiver_off_match': 27, 'centered_receiver_off_match_aggregate': 13}
131/149 fresh093 {'neighbor9': 4, 'off_window': 4, 'remaining_aggregate': 4, 'combined': 4, 'centered_receiver': 4, 'centered_receiver_off_match': 4, 'centered_receiver_off_match_aggregate': 4}
132/149 fresh094 {'neighbor9': 2, 'off_window': 1, 'remaining_aggregate': 2, 'combined': 1, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2}
133/149 fresh095 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
134/149 fresh096 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
135/149 fresh097 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
