name,camera,ccd,grid_row,grid_col,row_residue,column_residue,phase_sum,uncertainty_entry_sum
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,4,5,1.0000000000000002,0.10541993706526684
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,4,6,1.0000000000000002,0.11019588388091447
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,4,7,0.9999999999999996,0.11095675451787858
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,4,8,1.0,0.11029843912497558
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,5,0,0.9999999999999997,0.10006783987996767
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,5,1,0.9999999999999999,0.10494757455984814
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,5,2,1.0000000000000002,0.1038700222797734
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,5,3,1.0000000000000004,0.09613628449264909
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,5,4,1.0000000000000004,0.1159322044410383
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,5,5,1.0,0.10389390708027876
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,5,6,0.9999999999999997,0.10965129927511719
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,5,7,1.0,0.10713156415029217
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,5,8,1.0000000000000002,0.098662572931621
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,6,0,1.0000000000000004,0.09989825072697746
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,6,1,0.9999999999999998,0.11281420983734666
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,6,2,1.0000000000000004,0.09835526349594688
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,6,3,1.0,0.10038310240452121
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,6,4,0.9999999999999998,0.11444740172026496
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,6,5,1.0000000000000004,0.10764509171476375
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,6,6,0.9999999999999998,0.10978916044063022
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,6,7,1.0000000000000002,0.1098858871644114
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,6,8,1.0,0.097422142184113
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,7,0,1.0000000000000004,0.1110976782196034
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,7,1,1.0,0.11230467648611997
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,7,2,1.0,0.09707924417452134
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,7,3,1.0000000000000009,0.10673828538676561
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,7,4,0.9999999999999998,0.11246404161485142
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,7,5,1.0,0.1108608957415812
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,7,6,0.9999999999999996,0.11456886484879948
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,7,7,1.0000000000000002,0.11246088892886819
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,7,8,0.9999999999999996,0.11006124407605924
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,8,0,1.0,0.10689666519573424
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,8,1,1.0000000000000004,0.10924662170723028
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,8,2,0.9999999999999998,0.09894460009511194
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,8,3,1.0000000000000009,0.10737567010350207
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,8,4,1.0000000000000004,0.10198954898528476
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,8,5,1.0,0.11648480090129197
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,8,6,0.9999999999999997,0.11765344855048576
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,8,7,0.9999999999999999,0.11234998957056022
