sector,context,cadence,time_spacecraft_btjd,quaternion_rows,finite_fom_rows,minimum_fom,finite_guide_count_rows,minimum_guides_used
32,6,4163801,2191.2973256401624,10,10,236.0,10,199.0
32,6,4163802,2191.2975571215416,10,10,236.0,10,199.0
32,6,4163803,2191.29778860292,10,10,236.0,10,199.0
32,6,4163804,2191.298020084299,10,10,236.0,10,199.0
32,6,4163805,2191.298251565677,10,10,236.0,10,199.0
32,6,4163806,2191.298483047057,10,10,236.0,10,199.0
32,6,4163807,2191.2987145284364,10,10,236.0,10,199.0
32,6,4163808,2191.2989460098147,10,10,236.0,10,199.0
32,6,4163809,2191.2991774911934,10,10,236.0,10,199.0
32,6,4163810,2191.299408972572,10,10,236.0,10,199.0
32,6,4163811,2191.299640453951,10,10,236.0,10,199.0
32,6,4163812,2191.2998719353295,10,10,236.0,10,199.0
32,6,4163813,2191.300103416708,10,10,236.0,10,199.0
32,6,4163814,2191.300334898087,10,10,236.0,10,199.0
32,6,4163815,2191.3005663794656,10,10,236.0,10,199.0
32,6,4163816,2191.3007978608443,10,10,236.0,10,199.0
32,6,4163817,2191.301029342223,10,10,236.0,10,199.0
32,6,4163818,2191.3012608236018,10,10,236.0,10,199.0
32,6,4163819,2191.3014923049805,10,10,236.0,10,199.0
32,6,4163820,2191.301723786359,10,10,236.0,10,198.0
32,6,4163821,2191.301955267738,10,10,236.0,10,199.0
32,6,4163822,2191.3021867491166,10,10,236.0,10,199.0
32,6,4163823,2191.3024182304957,10,10,236.0,10,198.0
32,6,4163824,2191.3026497118744,10,10,236.0,10,199.0
32,6,4163825,2191.302881193253,10,10,236.0,10,199.0
32,6,4163826,2191.3031126746323,10,10,236.0,10,198.0
32,6,4163827,2191.303344156012,10,10,236.0,10,199.0
32,6,4163828,2191.3035756373906,10,10,236.0,10,199.0
32,6,4163829,2191.3038071187693,10,10,236.0,10,199.0
32,6,4163830,2191.304038600148,10,10,236.0,10,199.0
32,6,4163831,2191.3042700815267,10,10,236.0,10,199.0
32,6,4163832,2191.3045015629054,10,10,236.0,10,199.0
32,6,4163833,2191.304733044284,10,10,236.0,10,198.0
32,6,4163834,2191.304964525663,10,10,236.0,10,199.0
32,6,4163835,2191.3051960070416,10,10,236.0,10,199.0
32,6,4163836,2191.3054274884203,10,10,236.0,10,199.0
32,6,4163837,2191.305658969799,10,10,236.0,10,199.0
32,6,4163838,2191.3058904511777,10,10,236.0,10,199.0
32,6,4163839,2191.3061219325564,10,10,236.0,10,199.0
32,6,4163840,2191.306353413935,10,10,236.0,10,199.0
32,6,4163841,2191.3065848953133,10,10,236.0,10,199.0
32,6,4163842,2191.3068163766925,10,10,236.0,10,199.0
32,6,4163843,2191.3070478580707,10,10,236.0,10,198.0
32,6,4163844,2191.30727933945,10,10,236.0,10,199.0
32,6,4163845,2191.307510820828,10,10,236.0,10,199.0
32,6,4163846,2191.3077423022078,10,10,236.0,10,199.0
32,6,4163847,2191.3079737835874,10,10,236.0,10,199.0
32,6,4163848,2191.3082052649656,10,10,236.0,10,198.0
32,6,4163849,2191.308436746345,10,10,236.0,10,199.0
